area,type,count
臺北市中正區,潛在可供農業使用,5
臺北市中正區,道路或道路設施,10
臺北市中正區,林業使用,6
臺北市中正區,其他建築使用,6
臺北市中正區,公共及公用設施,1
臺北市文山區,農糧作物,1920
臺北市文山區,其他建築使用,842
臺北市文山區,林業使用,3694
臺北市文山區,潛在可供農業使用,272
臺北市文山區,公共及公用設施,84
臺北市文山區,道路或道路設施,794
臺北市文山區,工廠,31
臺北市文山區,河川及水利設施,41
臺北市文山區,畜牧使用,10
臺北市文山區,休閒農場,28
臺北市文山區,農水路使用,3
臺北市中山區,其他建築使用,150
臺北市中山區,工廠,8
臺北市中山區,農糧作物,4
臺北市中山區,林業使用,39
臺北市中山區,道路或道路設施,42
臺北市中山區,潛在可供農業使用,6
臺北市中山區,公共及公用設施,16
臺北市中山區,河川及水利設施,5
臺北市內湖區,林業使用,3090
臺北市內湖區,農糧作物,733
臺北市內湖區,其他建築使用,656
臺北市內湖區,潛在可供農業使用,293
臺北市內湖區,工廠,55
臺北市內湖區,河川及水利設施,46
臺北市內湖區,道路或道路設施,347
臺北市內湖區,公共及公用設施,87
臺北市內湖區,農水路使用,10
臺北市內湖區,休閒農場,6
臺北市內湖區,畜牧使用,1
臺北市松山區,道路或道路設施,68
臺北市松山區,其他建築使用,262
臺北市松山區,林業使用,1006
臺北市松山區,潛在可供農業使用,99
臺北市松山區,農糧作物,65
臺北市松山區,河川及水利設施,15
臺北市松山區,公共及公用設施,32
臺北市松山區,工廠,6
臺北市松山區,養殖魚塭,2
臺北市南港區,林業使用,3678
臺北市南港區,道路或道路設施,586
臺北市南港區,其他建築使用,536
臺北市南港區,潛在可供農業使用,298
臺北市南港區,農糧作物,674
臺北市南港區,公共及公用設施,104
臺北市南港區,河川及水利設施,72
臺北市南港區,畜牧使用,6
臺北市南港區,工廠,77
臺北市南港區,休閒農場,2
臺北市南港區,農水路使用,4
臺北市信義區,林業使用,232
臺北市信義區,農糧作物,21
臺北市信義區,其他建築使用,305
臺北市信義區,潛在可供農業使用,45
臺北市信義區,道路或道路設施,79
臺北市信義區,工廠,12
臺北市信義區,公共及公用設施,2
臺北市信義區,河川及水利設施,1
臺北市士林區,道路或道路設施,1254
臺北市士林區,潛在可供農業使用,535
臺北市士林區,林業使用,5386
臺北市士林區,其他建築使用,3196
臺北市士林區,農糧作物,3026
臺北市士林區,公共及公用設施,324
臺北市士林區,河川及水利設施,107
臺北市士林區,工廠,113
臺北市士林區,農舍,2
臺北市士林區,農水路使用,57
臺北市士林區,休閒農場,9
臺北市北投區,農糧作物,2345
臺北市北投區,林業使用,1937
臺北市北投區,其他建築使用,1945
臺北市北投區,道路或道路設施,487
臺北市北投區,工廠,112
臺北市北投區,公共及公用設施,94
臺北市北投區,潛在可供農業使用,501
臺北市北投區,畜牧使用,6
臺北市北投區,河川及水利設施,129
臺北市北投區,農舍,3
臺北市北投區,休閒農場,5
臺北市大安區,林業使用,93
臺北市大安區,農糧作物,9
臺北市大安區,潛在可供農業使用,34
臺北市大安區,其他建築使用,159
臺北市大安區,道路或道路設施,47
臺北市大安區,公共及公用設施,20
臺北市大安區,工廠,3
臺北市大安區,畜牧使用,6
臺中市南區,農糧作物,7
臺中市東區,農糧作物,2
臺中市北區,農糧作物,1
臺中市北屯區,林業使用,1849
臺中市北屯區,農舍,92
臺中市北屯區,其他建築使用,2677
臺中市北屯區,工廠,344
臺中市北屯區,道路或道路設施,380
臺中市北屯區,潛在可供農業使用,233
臺中市北屯區,農糧作物,1778
臺中市北屯區,公共及公用設施,46
臺中市北屯區,河川及水利設施,86
臺中市北屯區,畜牧使用,10
臺中市北屯區,休閒農場,3
臺中市北屯區,農水路使用,3
臺中市南屯區,工廠,543
臺中市南屯區,道路或道路設施,435
臺中市南屯區,農糧作物,1671
臺中市南屯區,潛在可供農業使用,325
臺中市南屯區,河川及水利設施,207
臺中市南屯區,農舍,210
臺中市南屯區,其他建築使用,2676
臺中市南屯區,林業使用,368
臺中市南屯區,公共及公用設施,137
臺中市南屯區,畜牧使用,9
臺中市西屯區,其他建築使用,5990
臺中市西屯區,農舍,340
臺中市西屯區,道路或道路設施,899
臺中市西屯區,工廠,1226
臺中市西屯區,潛在可供農業使用,687
臺中市西屯區,河川及水利設施,221
臺中市西屯區,農糧作物,2414
臺中市西屯區,林業使用,232
臺中市西屯區,公共及公用設施,124
臺中市西屯區,畜牧使用,27
臺中市西屯區,農水路使用,1
基隆市中正區,林業使用,478
基隆市中正區,其他建築使用,156
基隆市中正區,道路或道路設施,40
基隆市中正區,工廠,23
基隆市中正區,公共及公用設施,3
基隆市中正區,潛在可供農業使用,40
基隆市中正區,農糧作物,38
基隆市中正區,河川及水利設施,1
基隆市仁愛區,其他建築使用,267
基隆市仁愛區,林業使用,180
基隆市仁愛區,道路或道路設施,12
基隆市仁愛區,公共及公用設施,20
基隆市仁愛區,潛在可供農業使用,6
基隆市仁愛區,工廠,1
基隆市仁愛區,農糧作物,3
基隆市信義區,林業使用,1115
基隆市信義區,潛在可供農業使用,135
基隆市信義區,其他建築使用,387
基隆市信義區,工廠,21
基隆市信義區,農糧作物,52
基隆市信義區,道路或道路設施,88
基隆市信義區,農水路使用,7
基隆市信義區,公共及公用設施,42
基隆市信義區,河川及水利設施,55
基隆市七堵區,道路或道路設施,646
基隆市七堵區,林業使用,8697
基隆市七堵區,工廠,290
基隆市七堵區,公共及公用設施,197
基隆市七堵區,潛在可供農業使用,326
基隆市七堵區,其他建築使用,1450
基隆市七堵區,農水路使用,19
基隆市七堵區,農糧作物,1410
基隆市七堵區,河川及水利設施,277
基隆市七堵區,畜牧使用,7
基隆市七堵區,農舍,5
基隆市七堵區,休閒農場,53
基隆市暖暖區,其他建築使用,570
基隆市暖暖區,林業使用,1612
基隆市暖暖區,道路或道路設施,109
基隆市暖暖區,河川及水利設施,82
基隆市暖暖區,潛在可供農業使用,185
基隆市暖暖區,農糧作物,121
基隆市暖暖區,工廠,51
基隆市暖暖區,農水路使用,21
基隆市暖暖區,公共及公用設施,29
基隆市暖暖區,休閒農場,3
基隆市中山區,林業使用,261
基隆市中山區,其他建築使用,181
基隆市中山區,工廠,16
基隆市中山區,潛在可供農業使用,22
基隆市中山區,農糧作物,67
基隆市中山區,道路或道路設施,30
基隆市中山區,公共及公用設施,28
基隆市中山區,河川及水利設施,10
基隆市安樂區,林業使用,1347
基隆市安樂區,其他建築使用,707
基隆市安樂區,工廠,123
基隆市安樂區,農糧作物,282
基隆市安樂區,潛在可供農業使用,181
基隆市安樂區,道路或道路設施,246
基隆市安樂區,河川及水利設施,77
基隆市安樂區,公共及公用設施,59
基隆市安樂區,農水路使用,6
臺南市北區,養殖魚塭,61
臺南市北區,其他建築使用,21
臺南市北區,工廠,6
臺南市北區,公共及公用設施,1
臺南市北區,道路或道路設施,4
臺南市中西區,農糧作物,2
臺南市中西區,養殖魚塭,86
臺南市安平區,養殖魚塭,193
臺南市安平區,公共及公用設施,7
臺南市安平區,潛在可供農業使用,68
臺南市安平區,道路或道路設施,24
臺南市安平區,其他建築使用,19
臺南市安平區,林業使用,12
臺南市安平區,河川及水利設施,5
臺南市安南區,農糧作物,15319
臺南市安南區,潛在可供農業使用,4548
臺南市安南區,河川及水利設施,1399
臺南市安南區,道路或道路設施,2540
臺南市安南區,其他建築使用,2568
臺南市安南區,工廠,1688
臺南市安南區,林業使用,160
臺南市安南區,公共及公用設施,159
臺南市安南區,農舍,176
臺南市安南區,養殖魚塭,6287
臺南市安南區,畜牧使用,172
臺南市安南區,農水路使用,2
臺南市東區,其他建築使用,56
臺南市東區,道路或道路設施,15
臺南市東區,潛在可供農業使用,21
臺南市東區,農糧作物,54
臺南市東區,工廠,2
臺南市東區,林業使用,2
臺南市南區,農糧作物,2004
臺南市南區,道路或道路設施,440
臺南市南區,其他建築使用,1389
臺南市南區,工廠,513
臺南市南區,潛在可供農業使用,1585
臺南市南區,河川及水利設施,30
臺南市南區,養殖魚塭,327
臺南市南區,林業使用,137
臺南市南區,公共及公用設施,59
臺南市南區,農舍,3
臺南市南區,畜牧使用,4
高雄市鼓山區,道路或道路設施,37
高雄市鼓山區,其他建築使用,216
高雄市鼓山區,潛在可供農業使用,50
高雄市鼓山區,林業使用,35
高雄市鼓山區,公共及公用設施,2
高雄市鼓山區,農糧作物,14
高雄市鼓山區,工廠,52
高雄市鼓山區,農舍,2
高雄市鼓山區,河川及水利設施,2
高雄市前鎮區,農糧作物,7
高雄市前鎮區,其他建築使用,3
高雄市前鎮區,潛在可供農業使用,2
高雄市前鎮區,道路或道路設施,1
高雄市小港區,農糧作物,905
高雄市小港區,工廠,342
高雄市小港區,其他建築使用,659
高雄市小港區,潛在可供農業使用,235
高雄市小港區,道路或道路設施,195
高雄市小港區,河川及水利設施,51
高雄市小港區,林業使用,389
高雄市小港區,農舍,15
高雄市小港區,養殖魚塭,1
高雄市小港區,公共及公用設施,152
高雄市小港區,休閒農場,7
高雄市小港區,農水路使用,2
高雄市小港區,畜牧使用,2
高雄市三民區,其他建築使用,235
高雄市三民區,工廠,86
高雄市三民區,道路或道路設施,67
高雄市三民區,潛在可供農業使用,45
高雄市三民區,農糧作物,85
高雄市三民區,農舍,1
高雄市三民區,河川及水利設施,10
高雄市三民區,林業使用,9
高雄市三民區,公共及公用設施,7
高雄市三民區,畜牧使用,1
高雄市左營區,農糧作物,37
高雄市左營區,林業使用,1
高雄市左營區,道路或道路設施,4
高雄市楠梓區,農糧作物,219
高雄市楠梓區,道路或道路設施,51
高雄市楠梓區,潛在可供農業使用,143
高雄市楠梓區,其他建築使用,189
高雄市楠梓區,林業使用,16
高雄市楠梓區,工廠,85
高雄市楠梓區,農舍,2
高雄市楠梓區,河川及水利設施,11
高雄市楠梓區,公共及公用設施,4
高雄市岡山區,工廠,1330
高雄市岡山區,潛在可供農業使用,2672
高雄市岡山區,道路或道路設施,581
高雄市岡山區,其他建築使用,1901
高雄市岡山區,農糧作物,5013
高雄市岡山區,河川及水利設施,765
高雄市岡山區,林業使用,1272
高雄市岡山區,公共及公用設施,143
高雄市岡山區,畜牧使用,127
高雄市岡山區,農水路使用,724
高雄市岡山區,農舍,115
高雄市岡山區,養殖魚塭,413
高雄市橋頭區,農糧作物,3637
高雄市橋頭區,畜牧使用,103
高雄市橋頭區,道路或道路設施,130
高雄市橋頭區,工廠,373
高雄市橋頭區,河川及水利設施,242
高雄市橋頭區,其他建築使用,344
高雄市橋頭區,農水路使用,338
高雄市橋頭區,農舍,72
高雄市橋頭區,潛在可供農業使用,369
高雄市橋頭區,公共及公用設施,23
高雄市橋頭區,林業使用,38
高雄市橋頭區,養殖魚塭,174
高雄市燕巢區,林業使用,4037
高雄市燕巢區,潛在可供農業使用,2832
高雄市燕巢區,農糧作物,6566
高雄市燕巢區,其他建築使用,2741
高雄市燕巢區,道路或道路設施,945
高雄市燕巢區,農水路使用,277
高雄市燕巢區,畜牧使用,234
高雄市燕巢區,工廠,829
高雄市燕巢區,農舍,77
高雄市燕巢區,河川及水利設施,586
高雄市燕巢區,公共及公用設施,275
高雄市燕巢區,養殖魚塭,78
高雄市燕巢區,休閒農場,1
高雄市永安區,潛在可供農業使用,697
高雄市永安區,其他建築使用,596
高雄市永安區,養殖魚塭,1320
高雄市永安區,農糧作物,1183
高雄市永安區,河川及水利設施,393
高雄市永安區,畜牧使用,65
高雄市永安區,道路或道路設施,284
高雄市永安區,工廠,185
高雄市永安區,林業使用,16
高雄市永安區,農舍,70
高雄市永安區,公共及公用設施,34
高雄市彌陀區,河川及水利設施,403
高雄市彌陀區,農糧作物,589
高雄市彌陀區,潛在可供農業使用,890
高雄市彌陀區,工廠,240
高雄市彌陀區,農舍,145
高雄市彌陀區,道路或道路設施,167
高雄市彌陀區,畜牧使用,63
高雄市彌陀區,其他建築使用,557
高雄市彌陀區,養殖魚塭,821
高雄市彌陀區,公共及公用設施,16
高雄市彌陀區,林業使用,54
高雄市梓官區,農糧作物,2551
高雄市梓官區,潛在可供農業使用,534
高雄市梓官區,其他建築使用,637
高雄市梓官區,工廠,488
高雄市梓官區,道路或道路設施,279
高雄市梓官區,河川及水利設施,432
高雄市梓官區,公共及公用設施,21
高雄市梓官區,農舍,171
高雄市梓官區,林業使用,76
高雄市梓官區,畜牧使用,107
高雄市梓官區,養殖魚塭,64
高雄市梓官區,農水路使用,3
高雄市鳳山區,農糧作物,299
高雄市鳳山區,畜牧使用,8
高雄市鳳山區,其他建築使用,292
高雄市鳳山區,潛在可供農業使用,147
高雄市鳳山區,工廠,144
高雄市鳳山區,林業使用,59
高雄市鳳山區,道路或道路設施,86
高雄市鳳山區,公共及公用設施,52
高雄市鳳山區,河川及水利設施,19
高雄市鳳山區,農舍,2
高雄市鳳山區,農水路使用,3
高雄市大樹區,其他建築使用,2072
高雄市大樹區,農糧作物,8196
高雄市大樹區,公共及公用設施,146
高雄市大樹區,林業使用,1944
高雄市大樹區,河川及水利設施,339
高雄市大樹區,道路或道路設施,783
高雄市大樹區,畜牧使用,89
高雄市大樹區,潛在可供農業使用,1920
高雄市大樹區,農舍,54
高雄市大樹區,工廠,567
高雄市大樹區,休閒農場,7
高雄市大樹區,農水路使用,44
高雄市大樹區,養殖魚塭,10
高雄市旗山區,潛在可供農業使用,5897
高雄市旗山區,河川及水利設施,1354
高雄市旗山區,道路或道路設施,933
高雄市旗山區,農舍,340
高雄市旗山區,農水路使用,734
高雄市旗山區,農糧作物,6893
高雄市旗山區,其他建築使用,2273
高雄市旗山區,工廠,237
高雄市旗山區,林業使用,4117
高雄市旗山區,畜牧使用,182
高雄市旗山區,公共及公用設施,112
高雄市旗山區,養殖魚塭,77
高雄市旗山區,休閒農場,1
高雄市甲仙區,農糧作物,3720
高雄市甲仙區,林業使用,2818
高雄市甲仙區,道路或道路設施,314
高雄市甲仙區,其他建築使用,971
高雄市甲仙區,農舍,79
高雄市甲仙區,潛在可供農業使用,318
高雄市甲仙區,河川及水利設施,105
高雄市甲仙區,養殖魚塭,9
高雄市甲仙區,農水路使用,74
高雄市甲仙區,畜牧使用,18
高雄市甲仙區,公共及公用設施,31
高雄市甲仙區,工廠,35
高雄市杉林區,其他建築使用,1204
高雄市杉林區,農糧作物,7495
高雄市杉林區,河川及水利設施,629
高雄市杉林區,潛在可供農業使用,3433
高雄市杉林區,農舍,426
高雄市杉林區,林業使用,4525
高雄市杉林區,道路或道路設施,482
高雄市杉林區,工廠,17
高雄市杉林區,畜牧使用,133
高雄市杉林區,公共及公用設施,30
高雄市杉林區,農水路使用,550
高雄市杉林區,休閒農場,1
高雄市杉林區,養殖魚塭,1
高雄市內門區,農糧作物,8670
高雄市內門區,林業使用,7360
高雄市內門區,道路或道路設施,762
高雄市內門區,農舍,659
高雄市內門區,畜牧使用,432
高雄市內門區,其他建築使用,1160
高雄市內門區,公共及公用設施,95
高雄市內門區,河川及水利設施,267
高雄市內門區,潛在可供農業使用,2899
高雄市內門區,工廠,67
高雄市內門區,農水路使用,259
高雄市內門區,養殖魚塭,12
高雄市那瑪夏區,林業使用,1931
高雄市那瑪夏區,農糧作物,1394
高雄市那瑪夏區,河川及水利設施,15
高雄市那瑪夏區,其他建築使用,258
高雄市那瑪夏區,潛在可供農業使用,127
高雄市那瑪夏區,道路或道路設施,82
高雄市那瑪夏區,公共及公用設施,19
高雄市那瑪夏區,工廠,6
高雄市那瑪夏區,農水路使用,3
高雄市那瑪夏區,農舍,20
高雄市大社區,農糧作物,2044
高雄市大社區,其他建築使用,1383
高雄市大社區,畜牧使用,80
高雄市大社區,道路或道路設施,465
高雄市大社區,河川及水利設施,131
高雄市大社區,工廠,752
高雄市大社區,林業使用,1498
高雄市大社區,潛在可供農業使用,1757
高雄市大社區,公共及公用設施,143
高雄市大社區,農舍,14
高雄市大社區,農水路使用,7
高雄市仁武區,其他建築使用,2259
高雄市仁武區,林業使用,1021
高雄市仁武區,工廠,2063
高雄市仁武區,道路或道路設施,732
高雄市仁武區,農糧作物,1075
高雄市仁武區,潛在可供農業使用,1190
高雄市仁武區,公共及公用設施,145
高雄市仁武區,河川及水利設施,129
高雄市仁武區,畜牧使用,96
高雄市仁武區,農舍,50
高雄市仁武區,農水路使用,130
高雄市仁武區,養殖魚塭,12
高雄市鳥松區,其他建築使用,1846
高雄市鳥松區,工廠,1427
高雄市鳥松區,農糧作物,1698
高雄市鳥松區,潛在可供農業使用,868
高雄市鳥松區,道路或道路設施,710
高雄市鳥松區,農水路使用,12
高雄市鳥松區,河川及水利設施,243
高雄市鳥松區,農舍,91
高雄市鳥松區,公共及公用設施,73
高雄市鳥松區,林業使用,1274
高雄市鳥松區,畜牧使用,56
高雄市鳥松區,養殖魚塭,8
高雄市田寮區,林業使用,6677
高雄市田寮區,其他建築使用,1729
高雄市田寮區,農糧作物,3799
高雄市田寮區,道路或道路設施,637
高雄市田寮區,潛在可供農業使用,2418
高雄市田寮區,公共及公用設施,76
高雄市田寮區,河川及水利設施,206
高雄市田寮區,畜牧使用,244
高雄市田寮區,農水路使用,121
高雄市田寮區,養殖魚塭,119
高雄市田寮區,農舍,23
高雄市田寮區,工廠,30
高雄市田寮區,休閒農場,13
高雄市阿蓮區,農舍,676
高雄市阿蓮區,河川及水利設施,282
高雄市阿蓮區,潛在可供農業使用,3844
高雄市阿蓮區,農糧作物,5136
高雄市阿蓮區,其他建築使用,1118
高雄市阿蓮區,道路或道路設施,506
高雄市阿蓮區,工廠,512
高雄市阿蓮區,養殖魚塭,1022
高雄市阿蓮區,林業使用,424
高雄市阿蓮區,畜牧使用,461
高雄市阿蓮區,公共及公用設施,86
高雄市阿蓮區,農水路使用,548
高雄市阿蓮區,休閒農場,3
高雄市路竹區,其他建築使用,2026
高雄市路竹區,道路或道路設施,701
高雄市路竹區,河川及水利設施,352
高雄市路竹區,潛在可供農業使用,1965
高雄市路竹區,農水路使用,233
高雄市路竹區,農糧作物,8013
高雄市路竹區,林業使用,248
高雄市路竹區,農舍,250
高雄市路竹區,工廠,782
高雄市路竹區,公共及公用設施,99
高雄市路竹區,養殖魚塭,1280
高雄市路竹區,畜牧使用,489
,其他建築使用,44
,農糧作物,720
,潛在可供農業使用,53
,道路或道路設施,62
,養殖魚塭,2
,畜牧使用,6
,農水路使用,25
,公共及公用設施,1
高雄市湖內區,農糧作物,2123
高雄市湖內區,潛在可供農業使用,686
高雄市湖內區,林業使用,177
高雄市湖內區,河川及水利設施,367
高雄市湖內區,農舍,91
高雄市湖內區,其他建築使用,1266
高雄市湖內區,道路或道路設施,562
高雄市湖內區,畜牧使用,131
高雄市湖內區,工廠,507
高雄市湖內區,公共及公用設施,81
高雄市湖內區,養殖魚塭,2672
高雄市湖內區,農水路使用,214
高雄市茄萣區,養殖魚塭,949
高雄市茄萣區,河川及水利設施,135
高雄市茄萣區,潛在可供農業使用,124
高雄市茄萣區,道路或道路設施,52
高雄市茄萣區,其他建築使用,185
高雄市茄萣區,農水路使用,18
高雄市茄萣區,農舍,2
高雄市茄萣區,畜牧使用,3
高雄市茄萣區,公共及公用設施,5
高雄市茄萣區,農糧作物,5
高雄市茄萣區,工廠,14
高雄市茄萣區,林業使用,23
高雄市美濃區,潛在可供農業使用,11426
高雄市美濃區,林業使用,2480
高雄市美濃區,其他建築使用,4103
高雄市美濃區,農水路使用,2582
高雄市美濃區,農糧作物,9165
高雄市美濃區,道路或道路設施,802
高雄市美濃區,河川及水利設施,1024
高雄市美濃區,農舍,1258
高雄市美濃區,畜牧使用,467
高雄市美濃區,工廠,183
高雄市美濃區,養殖魚塭,802
高雄市美濃區,公共及公用設施,38
高雄市美濃區,休閒農場,3
高雄市六龜區,林業使用,5314
高雄市六龜區,農糧作物,5287
高雄市六龜區,農舍,219
高雄市六龜區,其他建築使用,2827
高雄市六龜區,潛在可供農業使用,4108
高雄市六龜區,道路或道路設施,816
高雄市六龜區,畜牧使用,79
高雄市六龜區,河川及水利設施,259
高雄市六龜區,公共及公用設施,44
高雄市六龜區,工廠,100
高雄市六龜區,農水路使用,165
高雄市六龜區,養殖魚塭,2
高雄市茂林區,林業使用,3468
高雄市茂林區,農糧作物,1054
高雄市茂林區,道路或道路設施,312
高雄市茂林區,潛在可供農業使用,120
高雄市茂林區,其他建築使用,142
高雄市茂林區,公共及公用設施,18
高雄市茂林區,河川及水利設施,99
高雄市茂林區,農舍,5
高雄市茂林區,工廠,2
高雄市桃源區,農糧作物,1291
高雄市桃源區,潛在可供農業使用,462
高雄市桃源區,林業使用,4792
高雄市桃源區,其他建築使用,415
高雄市桃源區,道路或道路設施,29
高雄市桃源區,農舍,87
高雄市桃源區,河川及水利設施,145
高雄市桃源區,公共及公用設施,5
高雄市桃源區,工廠,1
高雄市桃源區,畜牧使用,1
高雄市林園區,潛在可供農業使用,1141
高雄市林園區,其他建築使用,1505
高雄市林園區,公共及公用設施,234
高雄市林園區,工廠,799
高雄市林園區,林業使用,292
高雄市林園區,農糧作物,4119
高雄市林園區,畜牧使用,65
高雄市林園區,河川及水利設施,735
高雄市林園區,養殖魚塭,1126
高雄市林園區,道路或道路設施,718
高雄市林園區,農舍,43
高雄市大寮區,河川及水利設施,1168
高雄市大寮區,林業使用,880
高雄市大寮區,工廠,3718
高雄市大寮區,農糧作物,9813
高雄市大寮區,其他建築使用,5710
高雄市大寮區,公共及公用設施,555
高雄市大寮區,道路或道路設施,1935
高雄市大寮區,潛在可供農業使用,2227
高雄市大寮區,畜牧使用,296
高雄市大寮區,農舍,178
高雄市大寮區,養殖魚塭,191
高雄市大寮區,農水路使用,3
新北市板橋區,道路或道路設施,471
新北市板橋區,林業使用,57
新北市板橋區,河川及水利設施,212
新北市板橋區,其他建築使用,101
新北市板橋區,農糧作物,173
新北市板橋區,畜牧使用,29
新北市板橋區,農舍,3
新北市板橋區,公共及公用設施,80
新北市板橋區,農水路使用,7
新北市板橋區,潛在可供農業使用,753
新北市板橋區,工廠,12
新北市板橋區,養殖魚塭,1
新北市土城區,農糧作物,720
新北市土城區,其他建築使用,1045
新北市土城區,道路或道路設施,586
新北市土城區,公共及公用設施,231
新北市土城區,林業使用,3169
新北市土城區,河川及水利設施,124
新北市土城區,潛在可供農業使用,759
新北市土城區,工廠,510
新北市土城區,農水路使用,20
新北市土城區,農舍,9
新北市土城區,畜牧使用,24
新北市新莊區,農糧作物,746
新北市新莊區,畜牧使用,8
新北市新莊區,工廠,378
新北市新莊區,其他建築使用,434
新北市新莊區,道路或道路設施,290
新北市新莊區,河川及水利設施,70
新北市新莊區,林業使用,470
新北市新莊區,潛在可供農業使用,115
新北市新莊區,公共及公用設施,39
新北市新莊區,養殖魚塭,3
新北市新莊區,農舍,4
新北市新莊區,農水路使用,3
新北市林口區,農糧作物,1412
新北市林口區,其他建築使用,4121
新北市林口區,潛在可供農業使用,2047
新北市林口區,林業使用,6347
新北市林口區,道路或道路設施,898
新北市林口區,畜牧使用,94
新北市林口區,工廠,1014
新北市林口區,河川及水利設施,195
新北市林口區,公共及公用設施,108
新北市林口區,農舍,13
新北市林口區,農水路使用,22
新北市五股區,潛在可供農業使用,1230
新北市五股區,工廠,1683
新北市五股區,道路或道路設施,762
新北市五股區,公共及公用設施,96
新北市五股區,其他建築使用,2560
新北市五股區,河川及水利設施,362
新北市五股區,農糧作物,1101
新北市五股區,林業使用,2283
新北市五股區,農水路使用,43
新北市五股區,農舍,2
新北市五股區,畜牧使用,12
新北市五股區,休閒農場,18
新北市泰山區,河川及水利設施,150
新北市泰山區,農水路使用,22
新北市泰山區,道路或道路設施,260
新北市泰山區,公共及公用設施,62
新北市泰山區,其他建築使用,659
新北市泰山區,工廠,664
新北市泰山區,潛在可供農業使用,205
新北市泰山區,林業使用,1457
新北市泰山區,農糧作物,295
新北市泰山區,農舍,2
新北市泰山區,畜牧使用,23
新北市新店區,其他建築使用,4683
新北市新店區,工廠,623
